Year,Code,Station name,Units,Observed conc,Modelled conc
2023,DE0002R,Waldhof,ng/m3,1.58,1.23
2023,DE0003R,N/A,ng/m3,1.24,1.21
2023,DE0009R,Zingst,ng/m3,1.45,1.29
2023,EE0009R,Lahemaa,ng/m3,N/A,1.25
2023,FI0027R,Virolahti Harju,ng/m3,1.16,1.22
2023,FI0050R,N/A,ng/m3,1.24,1.18
2023,GB0048R,Auchencorth Moss,ng/m3,1.29,1.22
2023,GB1055R,Chilbolton Observatory,ng/m3,1.42,1.28
2023,NO0042G,Zeppelin mountain,ng/m3,1.53,1.13
2023,NO0073U,Sofienbergparken,ng/m3,1.5,1.18
2023,PL0005R,Diabla Gora,ng/m3,1.37,1.19
2023,SE0014R,Rao,ng/m3,1.26,1.26
