year,months_with_isotopes,mean_d18o,mean_d2h,annual_precipitation_mm
1981,8,-7.97625,-54.1125,1402.3
1982,12,-9.101666666666667,-65.2,1418.4
1983,12,-8.4175,-58.71666666666667,1149.2
1984,12,-9.001666666666667,-62.166666666666664,1423.7
1985,12,-9.341666666666667,-65.83333333333333,1610.6
1986,12,-10.244166666666667,-73.33333333333333,1265
1987,12,-9.2375,-64.08333333333333,1527.8
1988,12,-8.435833333333333,-55.666666666666664,1178.3
1989,11,-8.131818181818183,-56.09090909090909,1211.1
1990,12,-8.160833333333333,-55.333333333333336,1331.3
1991,12,-8.835,-62.416666666666664,1181.9
1992,8,-8.833333333333332,-62.1625,1432.5
1993,10,-8.2,-56.69,1176.5
1994,12,-8.533333333333333,-59.31666666666666,1406.7
1995,12,-8.941666666666666,-60.391666666666666,1422.8
1996,11,-10.308181818181819,-71.39090909090909,1446.4
1997,10,-8.039,-56.85,1229.9
1998,10,-7.473,-49.21,1359.2
1999,9,-7.884444444444444,-54.522222222222226,1500.7
2000,8,-8.41,-60.5,1363.1
2001,12,-7.548333333333333,-51.28333333333333,1327.7
2002,12,-8.195833333333333,-56.291666666666664,1287.8
2003,12,-9.005833333333333,-62.40833333333333,1091
2004,12,-9.6725,-65.25,1696.1
2005,12,-9.895,-67.95833333333333,1403.3
2006,10,-8.197,-53.94,1140.8
2007,11,-8.708181818181817,-59.6,1195.9
2008,12,-7.656666666666666,-50.875,1490.2
2009,12,-8.505,-58.75833333333333,1405.5
2010,11,-9.507272727272728,-66.13636363636364,1797.9
2011,10,-7.741666666666666,-48.56,998.1
2012,12,-8.2525,-56.19166666666667,1339.2
2013,12,-9.383333333333333,-65.35,1530.5
2014,12,-8.147499999999999,-54.43333333333333,1840.5
2015,11,-9.915454545454546,-68.31818181818181,1106.4
2016,11,-8.611818181818181,-58.70909090909091,1316.9
2017,12,-7.922499999999999,-52.25,1531.1
2018,12,-7.801666666666667,-51.75,1376.6
2019,12,-7.995,-52.858333333333334,1378.9
2020,12,-7.754166666666666,-51.6,1262.2
2021,12,-8.539166666666667,-56.65,1442.3
2022,12,-7.118333333333333,-47.416666666666664,1264.3
2023,12,-8.1975,-53.891666666666666,1813.8
2024,12,-8.585,-57.74166666666667,1552.5
